,Rating,Title,Review,Review_Date
0,4.0,"4.0 out of 5 stars
Good phone-could have been better !","I've purchased the 6GB version of this phone which comes with an extendable 2 GB RAM (virtual memory) capability.Good phone, but being the least expensive category offering from One-plus, there are some small evident points that will get noticed. First thing is the confusing placement of the power button (and hence the finger sensor). Daily handling of the mobile phone feels a bit annoying with fingers locking/un-locking the phone while you try to handle it and place it into Your pockets. Although this is not a big problem, it is still something to think about. The second point is about lag here and there (only to a noticeable bit), which i am hoping might go away with updates/improvements. The third point is about the speaker volume. The speaker is good only at its near maximum levels i.e the volume does not seem to creep up steadily, rather louds out only at its top volume limits. The fourth point and final one is about the camera shoots where the colors are not very realistic. Photos taken in day light especially on skin tone tend to be over coloured.  LED flash is average and could have been better.The good and awesome part about this phone is about its practicality for daily users with one-plus strong brand part for the pricing offered. Battery life is very good and its re-charging capability is also very impressive for someone like me who has just moved from a Android 10 phone. Build of the phone is apt and will survive normal falls or mishaps from happening. The Phone does feel solid in hand. Stock android is clean and nothing to complain about.Overall a clean phone with small improvements that would make it an all-rounder and cut above the rest keeping one-plus branding in mind.",19 December 2022
1,4.0,"4.0 out of 5 stars
A mildly perfect phone","I will try to keep this review short. This review is just from the perspective of an average user I believe after you buy a phone and start to use it, you change yourself to adjust with it without complaining much.There is always a better device out there in the same price but just use it, it's just a tool nothing much.Pros:1. Camera is pretty good no cons about this.2. Software is sweet and other little features from one plus make it more sweet3. There aren't any negatives about speed or power it can run 99% of the apps people use generally without any issue.4. Build quality is good as well given that you going to use some sort of case on it.Cons1.The only con I see it is the battery you need to charge it twice in most of the days. If you browse internet use camera for some time watch YouTube, Instagram, Facebook or other media apps for like an hour or two on mid brightness or more then maximum achievable screen on time is around 7-8.5 hours. But given that high speed charger, battery isn't really an issue.Do some tweaking's around the settings and delete the preinstalled apps stop unnecessary apps from the background you can easily achieve 9hr plus screen on time.Peace",12 January 2023
2,4.0,"4.0 out of 5 stars
Super product",This review is after using this phone for 2 months.Very nice phone at this budget.The ram expandable upto 12 gb.No glitches.The camera is superb.There is no ir blaster.The 5g connectivity is superb.What not to say about this OnePlus celite 2.I recommend you this OnePlus celite 2At this budget.But also you can buy ce lite 3 if your budget is little more.,3 June 2023
3,4.0,"4.0 out of 5 stars
Good phone",Cam is nt that good,12 June 2023
4,4.0,"4.0 out of 5 stars
Good phone",Thnx amazon and one plus,11 June 2023
5,4.0,"4.0 out of 5 stars
Good Phone for the price",I bought it for my mother and this is as required,11 June 2023
6,4.0,"4.0 out of 5 stars
Nice product",Very good,12 June 2023
7,4.0,"4.0 out of 5 stars
Good",Nice cell phone,12 June 2023
8,4.0,"4.0 out of 5 stars
Nice 👍🏻","Nice phone, good image quality 👍🏻😄",10 June 2023
9,4.0,"4.0 out of 5 stars
Good product",Like,9 June 2023
10,4.0,"4.0 out of 5 stars
Camera",Wide angle camera ki kami h,9 June 2023
11,4.0,"4.0 out of 5 stars
Good one",Phone is good but camera is nit extraordinary but nice,8 June 2023
12,4.0,"4.0 out of 5 stars
Camera+Betrey",Nice battery+camera is amazing 🤩,9 June 2023
13,4.0,"4.0 out of 5 stars
Good product",OnePlus are undoubtedly the best brand in town and this one is worth the purchase.,6 June 2023
14,4.0,"4.0 out of 5 stars
Looks okay",Initial observation is good though not amazing. Little hanging faced.,12 June 2023
15,4.0,"4.0 out of 5 stars
Super 👌",Very nice product 👌,10 June 2023
16,4.0,"4.0 out of 5 stars
Battery",Battery is not upto the mark but due tofast charging it hardly matters...,3 June 2023
17,4.0,"4.0 out of 5 stars
No problem as of now","Quick charged, good quality",8 June 2023
18,4.0,"4.0 out of 5 stars
Thike hai paisa ke hisaab se",Good,6 June 2023
19,4.0,"4.0 out of 5 stars
Good one",Easy to use .Nice product. Satisfied ♥️,27 May 2023
20,4.0,"4.0 out of 5 stars
One plus ce2 handset",Worth of money. Featureful. BIt radio app is not inbuilt.,Reviewed in India 🇮🇳 on 25 May 2023
21,4.0,"4.0 out of 5 stars
Smooth functuoning",Battery drains fast. Rest is okay,Reviewed in India 🇮🇳 on 25 May 2023
22,4.0,"4.0 out of 5 stars
Best product",It's really good quality and smooth to use,Reviewed in India 🇮🇳 on 30 May 2023
23,4.0,"4.0 out of 5 stars
Good product",Nice product.,Reviewed in India 🇮🇳 on 27 May 2023
24,4.0,"4.0 out of 5 stars
Good",Good,Reviewed in India 🇮🇳 on 5 June 2023
25,4.0,"4.0 out of 5 stars
Good",While using apps device is starting heating,Reviewed in India 🇮🇳 on 31 May 2023
26,4.0,"4.0 out of 5 stars
cost high",camera is not compatible is 19000 valu,Reviewed in India 🇮🇳 on 31 May 2023
27,4.0,"4.0 out of 5 stars
Smooth kam karta hai",Bahut achcha mobile hai,Reviewed in India 🇮🇳 on 27 May 2023
28,4.0,"4.0 out of 5 stars
Nice",Nice,Reviewed in India 🇮🇳 on 3 June 2023
29,4.0,"4.0 out of 5 stars
Good phone",Nice and budget product,Reviewed in India 🇮🇳 on 3 June 2023
30,4.0,"4.0 out of 5 stars
Mobile",Good,7 June 2023
31,4.0,"4.0 out of 5 stars
Good Phone",Good phone,1 June 2023
32,4.0,"4.0 out of 5 stars
Expensive",Expensive,1 June 2023
33,4.0,"4.0 out of 5 stars
Worth it",Camera quality is good otherwise same as other phone,28 May 2023
34,4.0,"4.0 out of 5 stars
5 stars.",Wow..,25 May 2023
35,4.0,"4.0 out of 5 stars
Good photo",Good,5 June 2023
36,4.0,"4.0 out of 5 stars
Best camera phone under 20k",Really nice phone which I have used yet. Best camera phone under 20k,27 May 2023
37,4.0,"4.0 out of 5 stars
Ok",Ok,20 May 2023
38,4.0,"4.0 out of 5 stars
Good",Good phone,22 May 2023
39,4.0,"4.0 out of 5 stars
Mid range flagship","The media could not be loaded.
                



 10 days i use this phone battery, performance all is good.",5 June 2023
40,4.0,"4.0 out of 5 stars
Good 👍",Good 👍,25 May 2023
41,4.0,"4.0 out of 5 stars
Nice",Nice phone,20 May 2023
42,4.0,"4.0 out of 5 stars
Too good",Best product,21 May 2023
43,4.0,"4.0 out of 5 stars
Good",Good,29 May 2023
44,4.0,"4.0 out of 5 stars
Amazing device in budget",Phone's battery is good with fast charger.Features is amazing,24 May 2023
45,4.0,"4.0 out of 5 stars
good",good,25 May 2023
46,4.0,"4.0 out of 5 stars
Camera could be Improved","Needs much improvement in photography,as most people choose oneplus especially for camera,but this lite variant disappoints you",12 May 2023
47,4.0,"4.0 out of 5 stars
Value buying",Good product,29 May 2023
48,4.0,"4.0 out of 5 stars
Valuable product",Valuable product,19 May 2023
49,4.0,"4.0 out of 5 stars
All all review",The product get hitted easily. Except this over all it is fine,22 May 2023
50,4.0,"4.0 out of 5 stars
Good",Good,16 May 2023
51,4.0,"4.0 out of 5 stars
Good product",Good,20 May 2023
52,4.0,"4.0 out of 5 stars
Good in this price",Good.,22 May 2023
53,4.0,"4.0 out of 5 stars
Not bad",Not bad,22 May 2023
54,4.0,"4.0 out of 5 stars
Vallu of money",Verry good working,24 May 2023
55,4.0,"4.0 out of 5 stars
Good",Good 💯,19 May 2023
56,4.0,"4.0 out of 5 stars
Good Purchase","Camera is better than MI device's, but with same price range you can buy more powerful processor device in iqoo, but still it's OnePlus so it has different fan base, but price range is higher than other brand",10 May 2023
57,4.0,"4.0 out of 5 stars
Phone review",Nice product by OnePlus.This is my first OnePlus phone.Performance is outstanding,11 May 2023
58,4.0,"4.0 out of 5 stars
Good mobile at reasonable price",I have been using for only 3 days...till now experience is good... battery back up is average for 5000 mah. Resolution is good. Overall a good buy till now.,6 May 2023
59,4.0,"4.0 out of 5 stars
On time delivery 🚚","Received on time, product as described in specifications",11 May 2023
60,5.0,"5.0 out of 5 stars
Overall Champion 🏆","Totally setisfied with my choise.. it worths the money, Now I'm using this phone form last 4 months and overall it's a amazing expiry. A true 5G supporter, splendid camera, top quality features and ease of system all these little things makes this one the most beautiful phone under the range of 18k.",Reviewed in India 🇮🇳 on 10 June 2023
61,4.0,"4.0 out of 5 stars
Best in 20k range",Good phone for normal usersss,Reviewed in India 🇮🇳 on 13 May 2023
62,4.0,"4.0 out of 5 stars
Great but lacks in good processor",Processor in this price range could be better but this happen when you pay for brand value,Reviewed in India 🇮🇳 on 17 May 2023
63,4.0,"4.0 out of 5 stars
Finger print sensor",Display fingerprint sensor not available,Reviewed in India 🇮🇳 on 10 May 2023
64,4.0,"4.0 out of 5 stars
Good",Good,Reviewed in India 🇮🇳 on 21 May 2023
65,4.0,"4.0 out of 5 stars
Fabulous 😍",Nyc performance & battery backup good,Reviewed in India 🇮🇳 on 9 May 2023
66,4.0,"4.0 out of 5 stars
Good phone",Smooth performance and nice battery backup but front camera need improvement as selfies are not crisp enough.,Reviewed in India 🇮🇳 on 10 May 2023
67,4.0,"4.0 out of 5 stars
Best",Nice,Reviewed in India 🇮🇳 on 16 May 2023
