,Rating,Title,Review,Review_Date
0,4.0,Good phone-could have been better !,"I've purchased the 6GB version of this phone which comes with an extendable 2 GB RAM (virtual memory) capability.Good phone, but being the least expensive category offering from One-plus, there are some small evident points that will get noticed. First thing is the confusing placement of the power button (and hence the finger sensor). Daily handling of the mobile phone feels a bit annoying with fingers locking/un-locking the phone while you try to handle it and place it into Your pockets. Although this is not a big problem, it is still something to think about. The second point is about lag here and there (only to a noticeable bit), which i am hoping might go away with updates/improvements. The third point is about the speaker volume. The speaker is good only at its near maximum levels i.e the volume does not seem to creep up steadily, rather louds out only at its top volume limits. The fourth point and final one is about the camera shoots where the colors are not very realistic. Photos taken in day light especially on skin tone tend to be over coloured.  LED flash is average and could have been better.The good and awesome part about this phone is about its practicality for daily users with one-plus strong brand part for the pricing offered. Battery life is very good and its re-charging capability is also very impressive for someone like me who has just moved from a Android 10 phone. Build of the phone is apt and will survive normal falls or mishaps from happening. The Phone does feel solid in hand. Stock android is clean and nothing to complain about.Overall a clean phone with small improvements that would make it an all-rounder and cut above the rest keeping one-plus branding in mind.",19 December 2022
1,4.0,A mildly perfect phone,"I will try to keep this review short. This review is just from the perspective of an average user I believe after you buy a phone and start to use it, you change yourself to adjust with it without complaining much.There is always a better device out there in the same price but just use it, it's just a tool nothing much.Pros:1. Camera is pretty good no cons about this.2. Software is sweet and other little features from one plus make it more sweet3. There aren't any negatives about speed or power it can run 99% of the apps people use generally without any issue.4. Build quality is good as well given that you going to use some sort of case on it.Cons1.The only con I see it is the battery you need to charge it twice in most of the days. If you browse internet use camera for some time watch YouTube, Instagram, Facebook or other media apps for like an hour or two on mid brightness or more then maximum achievable screen on time is around 7-8.5 hours. But given that high speed charger, battery isn't really an issue.Do some tweaking's around the settings and delete the preinstalled apps stop unnecessary apps from the background you can easily achieve 9hr plus screen on time.Peace",12 January 2023
2,4.0,Super product,This review is after using this phone for 2 months.Very nice phone at this budget.The ram expandable upto 12 gb.No glitches.The camera is superb.There is no ir blaster.The 5g connectivity is superb.What not to say about this OnePlus celite 2.I recommend you this OnePlus celite 2At this budget.But also you can buy ce lite 3 if your budget is little more.,3 June 2023
3,4.0,Good phone,Cam is nt that good,12 June 2023
4,4.0,Good phone,Thnx amazon and one plus,11 June 2023
5,4.0,Good Phone for the price,I bought it for my mother and this is as required,11 June 2023
6,4.0,Nice product,Very good,12 June 2023
7,4.0,Good,Nice cell phone,12 June 2023
8,4.0,Nice 👍🏻,"Nice phone, good image quality 👍🏻😄",10 June 2023
9,4.0,Good product,Like,9 June 2023
10,4.0,Camera,Wide angle camera ki kami h,9 June 2023
11,4.0,Good one,Phone is good but camera is nit extraordinary but nice,8 June 2023
12,4.0,Camera+Betrey,Nice battery+camera is amazing 🤩,9 June 2023
13,4.0,Good product,OnePlus are undoubtedly the best brand in town and this one is worth the purchase.,6 June 2023
14,4.0,Looks okay,Initial observation is good though not amazing. Little hanging faced.,12 June 2023
15,4.0,Super 👌,Very nice product 👌,10 June 2023
16,4.0,Battery,Battery is not upto the mark but due tofast charging it hardly matters...,3 June 2023
17,4.0,No problem as of now,"Quick charged, good quality",8 June 2023
18,4.0,Thike hai paisa ke hisaab se,Good,6 June 2023
19,4.0,Good one,Easy to use .Nice product. Satisfied ♥️,27 May 2023
20,4.0,One plus ce2 handset,Worth of money. Featureful. BIt radio app is not inbuilt.,25 May 2023
21,4.0,Smooth functuoning,Battery drains fast. Rest is okay,25 May 2023
22,4.0,Best product,It's really good quality and smooth to use,30 May 2023
23,4.0,Good product,Nice product.,27 May 2023
24,4.0,Good,Good,5 June 2023
25,4.0,Good,While using apps device is starting heating,31 May 2023
26,4.0,cost high,camera is not compatible is 19000 valu,31 May 2023
27,4.0,Smooth kam karta hai,Bahut achcha mobile hai,27 May 2023
28,4.0,Nice,Nice,3 June 2023
29,4.0,Good phone,Nice and budget product,3 June 2023
30,4.0,Mobile,Good,7 June 2023
31,4.0,Good Phone,Good phone,1 June 2023
32,4.0,Expensive,Expensive,1 June 2023
33,4.0,Worth it,Camera quality is good otherwise same as other phone,28 May 2023
34,4.0,5 stars.,Wow..,25 May 2023
35,4.0,Good photo,Good,5 June 2023
36,4.0,Best camera phone under 20k,Really nice phone which I have used yet. Best camera phone under 20k,27 May 2023
37,4.0,Ok,Ok,20 May 2023
38,4.0,Good,Good phone,22 May 2023
39,4.0,Mid range flagship,"The media could not be loaded.
                



 10 days i use this phone battery, performance all is good.",5 June 2023
40,4.0,Good 👍,Good 👍,25 May 2023
41,4.0,Nice,Nice phone,20 May 2023
42,4.0,Too good,Best product,21 May 2023
43,4.0,Good,Good,29 May 2023
44,4.0,Amazing device in budget,Phone's battery is good with fast charger.Features is amazing,24 May 2023
45,4.0,good,good,25 May 2023
46,4.0,Camera could be Improved,"Needs much improvement in photography,as most people choose oneplus especially for camera,but this lite variant disappoints you",12 May 2023
47,4.0,Value buying,Good product,29 May 2023
48,4.0,Valuable product,Valuable product,19 May 2023
49,4.0,All all review,The product get hitted easily. Except this over all it is fine,22 May 2023
50,4.0,Good,Good,16 May 2023
51,4.0,Good product,Good,20 May 2023
52,4.0,Good in this price,Good.,22 May 2023
53,4.0,Not bad,Not bad,22 May 2023
54,4.0,Vallu of money,Verry good working,24 May 2023
55,4.0,Good,Good 💯,19 May 2023
56,4.0,Good Purchase,"Camera is better than MI device's, but with same price range you can buy more powerful processor device in iqoo, but still it's OnePlus so it has different fan base, but price range is higher than other brand",10 May 2023
57,4.0,Phone review,Nice product by OnePlus.This is my first OnePlus phone.Performance is outstanding,11 May 2023
58,4.0,Good mobile at reasonable price,I have been using for only 3 days...till now experience is good... battery back up is average for 5000 mah. Resolution is good. Overall a good buy till now.,6 May 2023
59,4.0,On time delivery 🚚,"Received on time, product as described in specifications",11 May 2023
60,5.0,Overall Champion 🏆,"Totally setisfied with my choise.. it worths the money, Now I'm using this phone form last 4 months and overall it's a amazing expiry. A true 5G supporter, splendid camera, top quality features and ease of system all these little things makes this one the most beautiful phone under the range of 18k.",10 June 2023
61,4.0,Best in 20k range,Good phone for normal usersss,13 May 2023
62,4.0,Great but lacks in good processor,Processor in this price range could be better but this happen when you pay for brand value,17 May 2023
63,4.0,Finger print sensor,Display fingerprint sensor not available,10 May 2023
64,4.0,Good,Good,21 May 2023
65,4.0,Fabulous 😍,Nyc performance & battery backup good,9 May 2023
66,4.0,Good phone,Smooth performance and nice battery backup but front camera need improvement as selfies are not crisp enough.,10 May 2023
67,4.0,Best,Nice,16 May 2023
68,4.0,Good to buy one plus brand.,"Its good mobile to purchase, nice mobile , quality wise also good, battery is getting 24 hours continous when we use with mobile net.",9 May 2023
69,4.0,One Gps camera issue and otherwise good,"Overall very good mobile in this range but there is camera issue that when I catch photo with gps camera , front view through mobile is very clear and full of light but after pressing capture button it makes little bit dim and low light. This is the problem I am facing.",27 April 2023
70,4.0,Worst product,Not nice,20 May 2023
71,4.0,Nice phone in this budget,Very good phone in this budget. But last year this phone was selling 18k with no cost emi. But now I purchased almost 20k with 3 month EMI . One more thing all four corners have lineing in this phone so don't confused. It's not broken. It's design,3 May 2023
72,4.0,Light weight,Light weight and super fast charging,19 May 2023
73,4.0,Good,Good,16 May 2023
74,4.0,its the best watch i have ever use,really like the watch,14 May 2023
75,4.0,Camera quality is not too good,Overall phone is good but camera quality needs to be much better. Battery backup and other funtions are okay.,11 May 2023
76,4.0,Good,Fast performance better for heavy gaming,15 May 2023
77,4.0,Nice 5G phone at a decent price,"I loved the colour (sky blue), which looked exceptional when I opened it. Just started using it so cannot comment much on the performance. My mom always used Samsung before, and is fairly comfortable with the change of brand. She is using this since couple of weeks without concerns, but could have had better features at this price. This probably can only fit 2 SIM cards or 1 SIM and 1 SD card, that was surprising. Camera quality does not look great even though the brand claims to have higher MP camera's. Both SIM slots are mentioned 5G, which is great and battery quality so far looks reasonable.",2 April 2023
78,4.0,Good product,Phone is good in performance.,12 May 2023
79,5.0,Is one plus CE 2 lite a good phone?,"After using this phone a few months ago I feel like it is very good even though I used other phones like Vivo and Samsung. In my opinion this phone is very good in both gaming performance and charging battery faster. When talking about camera, it is very decent for a phone under this price but ultra wide is missing which is a drawback. Also its display is LCD display instead of amoled display. Indeed 5G with extra fast internet connection like Airtel 5G. Note that this phone is a sub products from a company called Oppo. That means if you used realme, oppo or even any Chinese phone. It will be the same only. Atlast it depends on your preferences whether Chinese,Indian or American smart phone ,it all depends on you. Whether you choose a flagship phone or just a moderate phone like One plus CE 2 lite.",18 May 2023
80,4.0,Not good not bad,"I am posting a review after 7 days of used,Pros :Battery is good, if you are using your mobile 10-12 hours continuous, charging will go for 1 day ..Performance is good, fast, looks good, features also ok.Cons :I heard about the camera quality of one plus is good, but my personal experience that it is not good, one plus front and back camera click real pictures but not in quality, images are blurry and pixels are also not clear. Am very disappoint with camera quality.I chose this to buy bcuz of camera and battery, but my experience is not good with this.Other phone are also coming with good quality...If you want to go for brand, go for it,But in the other brand you can get more good mobiles .",28 March 2023
81,4.0,Good,Overall good.  Only thing no auto call recording facility available.,11 May 2023
82,4.0,Budget friendly reliable phone,"I bought the phone in Jan 2023 @ 18250. Below are pros and cons I observed.Pros:1. Lightweight2. Good processor (snapdragon 695) for day to day task. No heating issue.3. Display is bright enough for sunlight usage.4. Network connectivity is good. I am able to use Jio 5g on this phone. Best speed so far is 500 Mbps. Call quality is good.5. Ram management is decent and with ram plus i.e. 6+6 I don't find any lag even with heavier tasks.6. Speaker is loud, clear and good.7. Fingerprint scanner is good and faster.8. Oxygen OS is clean and snappier without any bloatwares.9. Main Camera and front camera is decent in this price range. Low-light performance is decent but you need a steady hand for shake free images. Camera comes with good features.10. Battery backup is really good. Lasts 1.5 to 2 days easily with normal to medium usage. Attached the battery usage details.Cons:1. Display is IPS LCD. Could have been Amoled.2. Missing OIS on main camera. EIS is not really helpful.3. Cannot record 4k videos.4. Plastic body is ok but not very durable.5. No gorilla glass protection. Better to install some screen protection.",5 February 2023
83,4.0,Handy and light weight,"Phone is handy and light weight, OS is smooth, front camera is good but the main camera quality is not good at all.",8 May 2023
84,5.0,"Network issue in network area, it's wastage of money , better to to","It's has network issue always ,I have free memory and it gets hang, not worthy , it's best to go for Samsung or MI in budgetable , or any other brand , one plus not good option",8 June 2023
85,4.0,Quality,Ya I like it let's see how long does it works,7 May 2023
86,4.0,Work,Good,11 May 2023
87,4.0,Love it,Good camera and storage.,10 May 2023
88,4.0,Awesome phone..,Awesome phone.. nice features..,11 May 2023
89,4.0,Average,It's good,29 April 2023
90,4.0,Superb,Good looking and camera clarity is fabulous battery life is very nice fast charging amazing 🤩 fast fingure scanner working software is good no hanging issue.Must by 👍,23 April 2023
91,4.0,Best purchase,Best,30 April 2023
92,4.0,Worest mobile,mobile signals not working mobile battery backup not good some times hanged some times hanged yesterday visited OnePlus store not good service,21 April 2023
93,4.0,Ok ok,Good one but not to that extended,2 May 2023
94,4.0,Nice,Good products,2 May 2023
95,4.0,No Damaged Pieces,Good Service,30 April 2023
96,4.0,Good product,It is good product but not good foe heavy gaming,24 April 2023
97,4.0,Value for money,"This phone is value for money. Meanwhile, you can't experience the one plus charm. Camera quality is average. 5G connection speed is slightly less than the connection speed of other 5G phones.",18 April 2023
98,4.0,Good product within budget,"I feel it's very good phone within this budget range. Camera, performance and specially OS. Only one thing can be improved is display.",23 April 2023
99,4.0,Perfect in budget,"Budget friendly, performance is good and enough",2 May 2023
